netlist_idx,method,hpwl,overlap_area,overlap_pct,overlap_pairwise_sum,congestion,density,runtime,num_modules,num_nets
0,SA,5404.67431640625,6805.419921875,100.0,141455.046875,12.47555923461914,0.00358135400390625,1.7989165782928467,200,800
1,SA,4908.95361328125,6988.525390625,100.0,152263.640625,12.47555923461914,0.00353912646484375,1.8016095161437988,200,800
2,SA,5686.7705078125,7080.078125,100.0,135200.34375,12.47555923461914,0.003709025146484375,1.7447693347930908,200,800
3,SA,5765.150390625,6988.525390625,100.0,150292.390625,12.47555923461914,0.003823283203125,1.7484054565429688,200,800
4,SA,5856.75390625,7873.53515625,100.0,157032.359375,12.47555923461914,0.0045078828125,1.5606820583343506,200,800
5,SA,5420.10595703125,7064.8193359375,100.0,154883.515625,12.47555923461914,0.003929091796875,1.570483684539795,200,800
6,SA,6088.64990234375,7247.9248046875,100.0,150034.28125,12.47555923461914,0.003735454345703125,1.5780513286590576,200,800
7,SA,6378.9892578125,7156.3720703125,100.0,148587.375,12.47555923461914,0.00387335498046875,1.5974254608154297,200,800
8,SA,5301.98193359375,6652.83203125,100.0,139582.96875,12.47555923461914,0.0035582626953125,1.5568265914916992,200,800
9,SA,5581.99658203125,7415.771484375,100.0,147095.28125,12.47555923461914,0.0039365703125,1.5650148391723633,200,800
0,Analytical,529758.4736624934,1037.59765625,28.97221707539307,0.0,1.2873094081878662,0.00358135400390625,0.041825294494628906,200,800
1,Analytical,541930.8012226165,1403.80859375,39.665397879812055,0.0,1.9245368242263794,0.00353912646484375,0.042507171630859375,200,800
2,Analytical,479409.6468443211,1144.4091796875,30.85471611785205,0.0,1.5737437009811401,0.003709025146484375,0.04472947120666504,200,800
3,Analytical,553237.9635735521,1113.8916015625,29.134425633237136,0.0,1.6959376335144043,0.003823283203125,0.0384058952331543,200,800
4,Analytical,533795.0356179553,2426.1474609375,53.82010939170792,0.0,2.499655246734619,0.0045078828125,0.03789782524108887,200,800
5,Analytical,496924.51250075275,1739.501953125,44.27236733202598,0.0,2.1133601665496826,0.003929091796875,0.037856340408325195,200,800
6,Analytical,510763.03171737783,2639.7705078125,70.66799011608896,0.0,2.466362953186035,0.003735454345703125,0.03784370422363281,200,800
7,Analytical,446284.7806960831,1663.2080078125,42.939725798414166,0.0,1.985159158706665,0.00387335498046875,0.03855562210083008,200,800
8,Analytical,469758.96343525517,1205.4443359375,33.8773283244517,0.0,1.8043323755264282,0.0035582626953125,0.03772568702697754,200,800
9,Analytical,494955.827212685,656.1279296875,16.667501850635368,0.0,1.12062406539917,0.0039365703125,0.03732490539550781,200,800
0,MDP,0.0,14953.61328125,100.0,141455.046875,12.47555923461914,0.00358135400390625,2.039536714553833,200,800
1,MDP,0.0,14251.708984375,100.0,152263.640625,12.47555923461914,0.00353912646484375,1.813019037246704,200,800
2,MDP,0.0,15380.859375,100.0,138149.546875,12.47555923461914,0.003709025146484375,1.8295066356658936,200,800
3,MDP,578.125,15136.71875,100.0,149025.40625,12.47555923461914,0.003823283203125,1.6098947525024414,200,800
4,MDP,0.0,15808.10546875,100.0,157032.34375,12.47555923461914,0.0045078828125,1.5775542259216309,200,800
5,MDP,250.0,14709.47265625,100.0,154699.359375,12.47555923461914,0.003929091796875,1.5969438552856445,200,800
6,MDP,421.875,15258.7890625,100.0,152342.65625,12.47555923461914,0.003735454345703125,1.601250171661377,200,800
7,MDP,375.0,15136.71875,100.0,151413.109375,12.47555923461914,0.00387335498046875,1.6340343952178955,200,800
8,MDP,343.75,14770.5078125,100.0,139970.75,12.47555923461914,0.0035582626953125,1.5843522548675537,200,800
9,MDP,0.0,15533.447265625,100.0,147965.9375,12.47555923461914,0.0039365703125,1.5895540714263916,200,800
